               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.041481,            0.023847,            0.022896,            0.002337,            0.026888,           0.0018573,          0.00029507,            0.040457,            0.030394,            0.023001,            0.008119,            0.008119,            0.008119
                  40,            0.041146,            0.024201,            0.022735,           0.0026901,            0.037757,           0.0027007,           0.0003878,            0.040438,            0.030479,            0.022805,           0.0080695,           0.0080695,           0.0080695
                  41,            0.040945,            0.024107,            0.022565,           0.0026964,            0.040618,           0.0037515,          0.00058029,            0.040358,            0.030505,            0.022687,             0.00802,             0.00802,             0.00802
                  42,            0.040466,             0.02732,            0.022542,            0.003062,            0.049771,           0.0071623,           0.0010022,             0.04022,            0.030059,            0.022494,           0.0079705,           0.0079705,           0.0079705
                  43,            0.041371,             0.02425,            0.022336,           0.0029923,            0.060641,           0.0044409,          0.00077955,             0.04012,            0.030126,            0.022326,            0.007921,            0.007921,            0.007921
                  44,            0.040745,            0.024848,            0.022162,           0.0038042,            0.079519,           0.0049026,           0.0010098,            0.040057,            0.030421,            0.022257,           0.0078715,           0.0078715,           0.0078715
                  45,            0.040167,            0.025587,            0.022008,            0.056684,            0.034325,           0.0064449,            0.001326,             0.04008,            0.030489,            0.022115,            0.007822,            0.007822,            0.007822
                  46,            0.040237,            0.024561,            0.021852,             0.11069,            0.026316,           0.0058125,           0.0010468,            0.040152,            0.030575,            0.021983,           0.0077725,           0.0077725,           0.0077725
                  47,            0.040452,            0.025663,            0.021633,             0.21757,            0.020595,           0.0058784,            0.001092,             0.03996,            0.030388,            0.021888,            0.007723,            0.007723,            0.007723
                  48,            0.040312,            0.024906,            0.021433,             0.59076,            0.022311,           0.0075694,            0.001428,            0.039959,            0.030291,            0.021726,           0.0076735,           0.0076735,           0.0076735
                  49,            0.040908,            0.022992,            0.021235,             0.53644,            0.021167,           0.0069825,           0.0014774,            0.039834,            0.030166,            0.021533,            0.007624,            0.007624,            0.007624
                  50,            0.040562,            0.023944,              0.0211,             0.42891,            0.020595,           0.0057791,           0.0012296,            0.039782,            0.030357,            0.021286,           0.0075745,           0.0075745,           0.0075745
                  51,            0.040964,            0.022567,            0.020719,             0.27167,            0.033181,           0.0067834,           0.0015771,            0.039626,            0.030513,            0.020922,            0.007525,            0.007525,            0.007525
                  52,            0.040328,            0.023962,            0.020739,             0.38169,            0.028531,           0.0072401,           0.0014578,            0.039629,            0.029855,            0.020829,           0.0074755,           0.0074755,           0.0074755
                  53,            0.039668,            0.023859,            0.020449,             0.53651,            0.026888,           0.0087034,           0.0017063,            0.039569,            0.029565,            0.020787,            0.007426,            0.007426,            0.007426
                  54,            0.039886,             0.02326,            0.020243,             0.32968,            0.036613,           0.0085244,           0.0017341,            0.039563,            0.029659,            0.020755,           0.0073765,           0.0073765,           0.0073765
                  55,            0.039873,            0.023573,            0.020107,             0.22148,            0.062929,           0.0086159,           0.0019874,            0.039581,            0.029801,            0.020515,            0.007327,            0.007327,            0.007327
                  56,            0.038378,            0.026651,              0.0202,              0.4375,            0.024027,            0.012228,           0.0023407,            0.039439,            0.030644,            0.020559,           0.0072775,           0.0072775,           0.0072775
                  57,            0.039491,            0.024004,            0.019633,              0.4406,            0.029748,            0.013609,           0.0032551,            0.039194,            0.030156,            0.020257,            0.007228,            0.007228,            0.007228
                  58,            0.038714,            0.024328,            0.019616,              0.4409,            0.028604,            0.013915,           0.0035192,            0.039357,            0.031674,            0.020378,           0.0071785,           0.0071785,           0.0071785
                  59,             0.03928,            0.024665,            0.019301,             0.50585,            0.025635,            0.013461,           0.0034089,            0.039395,             0.03162,            0.020087,            0.007129,            0.007129,            0.007129
                  60,             0.03914,            0.024912,            0.019078,             0.28943,            0.046629,            0.017322,           0.0040034,            0.039293,            0.030541,            0.019571,           0.0070795,           0.0070795,           0.0070795
                  61,            0.038063,            0.025433,            0.018661,              0.4123,            0.041762,            0.018751,           0.0046318,            0.039221,            0.030293,            0.019333,             0.00703,             0.00703,             0.00703
                  62,            0.039166,            0.023533,            0.018529,             0.24753,            0.066934,            0.022021,           0.0051289,            0.038751,            0.029442,            0.019057,           0.0069805,           0.0069805,           0.0069805
                  63,            0.038721,            0.023744,            0.018282,             0.25015,            0.077167,            0.024525,           0.0056927,            0.038721,            0.029622,            0.018666,            0.006931,            0.006931,            0.006931
                  64,            0.038996,            0.025541,             0.01801,             0.30655,            0.075515,            0.028819,           0.0060712,            0.038426,            0.028868,            0.018363,           0.0068815,           0.0068815,           0.0068815
                  65,            0.038345,            0.024022,            0.017696,             0.31676,            0.081808,             0.02563,           0.0066421,            0.038382,             0.02938,            0.018736,            0.006832,            0.006832,            0.006832
                  66,            0.037873,            0.023865,            0.017581,             0.39602,            0.048055,            0.021538,           0.0045916,             0.03875,            0.030227,            0.019304,           0.0067825,           0.0067825,           0.0067825
                  67,            0.039027,            0.022989,            0.017385,             0.30596,            0.055492,            0.025938,           0.0060299,            0.038499,            0.029797,              0.0181,            0.006733,            0.006733,            0.006733
