               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04221,            0.036102,            0.025196,                   0,                   0,                   0,                   0,             0.04052,            0.047459,            0.025108,            0.070265,           0.0033038,           0.0033038
                   1,            0.041502,            0.035142,            0.024977,                   0,                   0,                   0,                   0,            0.040575,            0.044608,             0.02487,            0.040252,            0.006624,            0.006624
                   2,            0.041169,            0.034448,            0.024581,          4.4137e-05,           0.0021985,          2.4675e-05,          3.6264e-06,            0.040886,            0.040583,            0.024135,            0.010226,            0.009931,            0.009931
                   3,            0.041255,            0.030839,            0.023564,            0.053965,            0.011344,           0.0015099,          0.00024106,            0.040462,            0.038755,            0.022962,           0.0099406,           0.0099406,           0.0099406
                   4,            0.040274,            0.030431,            0.021986,             0.27797,            0.022498,           0.0070589,           0.0013331,            0.039468,            0.039156,            0.021379,           0.0099406,           0.0099406,           0.0099406
                   5,            0.039315,            0.030415,            0.019955,             0.29257,            0.032713,             0.01494,           0.0026433,            0.038624,             0.03774,            0.018673,           0.0099208,           0.0099208,           0.0099208
                   6,            0.038076,            0.030046,            0.017386,             0.12314,             0.10452,            0.039527,           0.0085738,            0.037195,            0.038066,            0.015992,            0.009901,            0.009901,            0.009901
                   7,            0.037272,            0.028869,            0.014625,            0.045498,             0.12351,            0.030217,           0.0063639,            0.036823,            0.039878,            0.013499,           0.0098812,           0.0098812,           0.0098812
                   8,            0.036121,            0.028644,            0.012213,             0.15934,              0.2469,             0.10757,             0.02602,            0.034908,            0.039717,            0.010712,           0.0098614,           0.0098614,           0.0098614
                   9,             0.03506,            0.028343,           0.0099871,             0.10212,             0.23124,            0.068859,            0.016273,            0.035618,            0.037828,           0.0092485,           0.0098416,           0.0098416,           0.0098416
                  10,            0.034221,            0.028669,           0.0086229,             0.20012,             0.23847,             0.13944,            0.024953,            0.033736,            0.038923,           0.0078584,           0.0098218,           0.0098218,           0.0098218
                  11,            0.033421,            0.028354,           0.0074265,             0.20565,             0.26676,             0.14553,            0.031468,            0.033513,             0.03957,           0.0069573,            0.009802,            0.009802,            0.009802
                  12,            0.032811,            0.028183,           0.0066111,             0.21586,              0.3232,             0.20179,            0.055856,            0.032938,            0.039089,           0.0062981,           0.0097822,           0.0097822,           0.0097822
                  13,            0.032298,            0.027983,           0.0060906,            0.093311,             0.12486,            0.051459,           0.0064894,            0.034329,            0.037975,            0.006129,           0.0097624,           0.0097624,           0.0097624
                  14,            0.031826,            0.027711,           0.0056927,             0.24156,             0.32199,             0.21373,            0.052579,            0.032381,            0.040639,           0.0056284,           0.0097426,           0.0097426,           0.0097426
