               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.030248,            0.020618,           0.0022816,             0.47316,             0.45203,             0.40725,             0.13349,            0.029974,             0.01443,           0.0020234,           0.0093268,           0.0093268,           0.0093268
                  36,            0.029797,            0.022959,           0.0022224,             0.45173,             0.45583,             0.39608,             0.11948,            0.030094,            0.014495,           0.0020109,            0.009307,            0.009307,            0.009307
                  37,            0.030033,             0.02023,           0.0020372,             0.45679,             0.43176,             0.37692,            0.098503,             0.03029,            0.014211,           0.0020296,           0.0092872,           0.0092872,           0.0092872
                  38,            0.031822,            0.020207,           0.0025067,             0.43488,             0.43452,             0.38009,            0.097979,            0.030482,            0.014233,           0.0020457,           0.0092674,           0.0092674,           0.0092674
                  39,            0.030132,            0.021304,           0.0022266,             0.43008,             0.44387,             0.37547,             0.11194,            0.030367,            0.014458,           0.0020063,           0.0092476,           0.0092476,           0.0092476
                  40,            0.030032,            0.020437,           0.0021872,             0.49642,             0.42529,             0.39551,             0.12065,            0.030265,            0.014329,           0.0020057,           0.0092278,           0.0092278,           0.0092278
                  41,            0.031125,            0.020486,           0.0024404,             0.50593,             0.44383,             0.42148,             0.13735,            0.029961,            0.014238,           0.0019985,            0.009208,            0.009208,            0.009208
                  42,            0.028997,            0.021181,           0.0018894,             0.48721,             0.43376,             0.40772,             0.14017,            0.030082,            0.014285,           0.0019954,           0.0091882,           0.0091882,           0.0091882
                  43,            0.029305,            0.020727,           0.0021779,              0.4782,             0.49365,             0.42079,             0.14566,            0.029643,             0.01427,            0.001999,           0.0091684,           0.0091684,           0.0091684
                  44,            0.029937,            0.021584,           0.0022015,             0.48719,             0.45957,             0.41467,             0.14265,            0.029752,            0.014423,           0.0020163,           0.0091486,           0.0091486,           0.0091486
                  45,             0.02923,            0.020696,           0.0020627,             0.48798,             0.46248,             0.42882,             0.14552,            0.029733,            0.014292,            0.001998,           0.0091288,           0.0091288,           0.0091288
                  46,            0.030034,             0.02173,           0.0020966,             0.47323,             0.48604,             0.42279,             0.14141,            0.029773,            0.014309,           0.0019722,            0.009109,            0.009109,            0.009109
                  47,             0.02925,            0.020136,           0.0022442,             0.51138,             0.43242,             0.41119,             0.12642,            0.029845,            0.014182,             0.00199,           0.0090892,           0.0090892,           0.0090892
                  48,            0.030245,             0.02037,           0.0022532,             0.50915,             0.43878,             0.41313,             0.11802,            0.030191,            0.014114,           0.0020059,           0.0090694,           0.0090694,           0.0090694
                  49,             0.02984,            0.019285,           0.0021074,             0.51869,             0.41487,              0.3996,             0.13057,            0.029803,            0.014311,           0.0019935,           0.0090496,           0.0090496,           0.0090496
                  50,            0.030293,            0.020208,           0.0022422,             0.49886,             0.45615,             0.41335,             0.13395,            0.029888,            0.014273,           0.0019975,           0.0090298,           0.0090298,           0.0090298
                  51,             0.03021,            0.020908,           0.0023293,             0.49898,             0.45195,             0.41536,             0.14073,            0.029513,            0.014452,           0.0019898,             0.00901,             0.00901,             0.00901
                  52,            0.030005,             0.02067,            0.002208,             0.48451,             0.46473,             0.41158,              0.1376,            0.029641,            0.014437,           0.0019813,           0.0089902,           0.0089902,           0.0089902
                  53,            0.029951,            0.022355,            0.002292,             0.50855,             0.45027,             0.42428,             0.14249,             0.02965,            0.014438,           0.0019867,           0.0089704,           0.0089704,           0.0089704
                  54,            0.029427,            0.021989,           0.0021826,             0.47905,             0.45348,             0.40792,             0.14261,            0.029677,            0.014379,           0.0019727,           0.0089506,           0.0089506,           0.0089506
                  55,            0.029849,            0.021536,           0.0023517,             0.51965,             0.46229,             0.43479,             0.14782,            0.029466,            0.014289,           0.0019911,           0.0089308,           0.0089308,           0.0089308
                  56,             0.02947,            0.021404,           0.0022335,             0.50402,             0.47328,             0.42485,             0.14222,            0.030029,            0.014242,           0.0020048,            0.008911,            0.008911,            0.008911
                  57,             0.02897,            0.021992,           0.0020203,             0.47136,             0.44077,             0.39836,             0.13457,             0.03003,            0.014381,           0.0020059,           0.0088912,           0.0088912,           0.0088912
                  58,            0.028569,            0.020554,           0.0021103,             0.50284,             0.45511,             0.40992,             0.13708,            0.029874,            0.014438,           0.0020112,           0.0088714,           0.0088714,           0.0088714
                  59,             0.02945,             0.02007,           0.0022238,             0.53352,             0.43195,             0.41451,             0.13295,            0.030096,             0.01447,           0.0020433,           0.0088516,           0.0088516,           0.0088516
                  60,            0.028956,            0.020108,            0.002248,              0.4978,             0.46728,             0.40717,             0.13142,            0.030033,            0.014579,           0.0020383,           0.0088318,           0.0088318,           0.0088318
                  61,            0.030244,            0.021425,           0.0024705,              0.4546,             0.46421,             0.38674,             0.13324,            0.030146,            0.014686,           0.0019996,            0.008812,            0.008812,            0.008812
                  62,            0.028794,            0.021977,           0.0020592,             0.48484,             0.45482,             0.40687,              0.1309,            0.029965,            0.014425,           0.0019876,           0.0087922,           0.0087922,           0.0087922
                  63,             0.02879,            0.020389,           0.0022274,             0.47923,              0.4422,             0.40729,             0.13286,            0.029925,            0.014477,           0.0020073,           0.0087724,           0.0087724,           0.0087724
                  64,            0.029382,             0.02006,           0.0022108,             0.47424,              0.4358,             0.37914,             0.11757,            0.030128,            0.014554,           0.0019791,           0.0087526,           0.0087526,           0.0087526
